DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2022-04-18 21:33:30,198,304,0,479.385,320.911,152,291,44232,0,20.141,33.763,400.115
2022-04-18 21:33:32,198,1092,0,482.533,302.49,546,291,158886,0,8.158,17.058,458.589
2022-04-18 21:33:34,198,930,0,434.068,231.129,465,291,135315,0,0.255,2.951,431.012
2022-04-18 21:33:36,198,854,0,393.567,236.537,427,291,124257,0,0.552,2.333,390.005
2022-04-18 21:33:38,198,1022,0,453.361,357.608,511,291,148701,0,5.993,9.341,450.761
2022-04-18 21:33:40,198,1171,0,302.861,168.105,585.5,291,170380.5,0,0.079,1.473,301.175
2022-04-18 21:33:42,198,763,0,456.519,285.809,381.5,291,111016.5,0,0.033,1.333,452.937
2022-04-18 21:33:44,198,988,0,293.324,169.223,494,291,143754,0,0.033,0.801,291.617
2022-04-18 21:33:46,198,657,4,205.982,262.25,328.5,291,95593.5,0,0.033,0.954,203.915
2022-04-18 21:33:48,198,863,47,138.418,109.668,431.5,291,125566.5,0,0.036,0.963,136.723
2022-04-18 21:33:50,198,1179,50,177.427,462.856,589.5,291,171544.5,0,0.251,0.91,175.736
2022-04-18 21:33:52,198,1084,42,204.613,124.929,542,291,157722,0,1.208,1.826,203.072
2022-04-18 21:33:54,198,656,25,270.803,211.96,328,291,95448,0,0.2,1.139,268.726
2022-04-18 21:33:56,198,696,33,128.678,76.663,348,291,101268,0,0.022,0.638,126.973
2022-04-18 21:33:58,198,782,33,78.808,54.385,391,291,113781,0,0.033,0.524,77.478
2022-04-18 21:34:00,198,1050,72,153.3,88.81,525,291,152775,0,0.026,0.515,152.101
2022-04-18 21:34:02,198,917,60,275.796,217.444,458.5,291,133423.5,0,0.138,0.631,274.59
