DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2022-04-18 21:12:42,100,348,0,2059.543,2219.279,174,291,50634,0,21.313,37.578,2017.434
2022-04-18 21:12:44,100,525,0,440.943,87.404,262.5,291,76387.5,0,0.095,1.897,437.979
2022-04-18 21:12:46,100,537,0,412.439,54.737,268.5,291,78133.5,0,0.102,1.583,409.831
2022-04-18 21:12:48,100,426,0,395.446,69.715,213,291,61983,0,0.061,1.31,392.707
2022-04-18 21:12:50,100,316,0,502.491,148.988,158,291,45978,0,0.642,2.301,500.13
2022-04-18 21:12:52,100,168,0,1040.208,103.051,84,291,24444,0,0.726,2.75,1037.708
2022-04-18 21:12:54,100,344,0,847.767,526.387,172,291,50052,0,0.125,5.404,844.866
2022-04-18 21:12:56,100,478,0,487.776,45.694,239,291,69549,0,0.071,1.674,485.849
2022-04-18 21:12:59,100,344,0,520.055,94.079,172,291,50052,0,0.055,1.587,517.744
2022-04-18 21:13:01,100,257,0,768.716,118.51,128.5,291,37393.5,0,0.062,1.767,766.409
